category_number,category_name,emission_source,activity_data_value,activity_data_unit,emission_factor,ef_source,ef_unit,total_emissions_kgCO2e,data_quality_type,methodology_notes
1,Purchased goods and services,,,,,,,,,
2,Capital goods,,,,,,,,,
3,Fuel- and energy-related activities,,,,,,,,,
4,Upstream transportation and distribution,,,,,,,,,
5,Waste generated in operations,,,,,,,,,
6,Business travel,,,,,,,,,
7,Employee commuting,,,,,,,,,
8,Upstream leased assets,,,,,,,,,
9,Downstream transportation and distribution,,,,,,,,,
10,Processing of sold products,,,,,,,,,
11,Use of sold products,,,,,,,,,
12,End-of-life treatment of sold products,,,,,,,,,
13,Downstream leased assets,,,,,,,,,
14,Franchises,,,,,,,,,
15,Investments,,,,,,,,,
